V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
0,0.132877559,0.13464126,0.136659515,0.136132223,0.143532492,0.138023201,0.127113713,0.135568566,0.134386705,0.137514091,0.14733263,0.137114077,0.136895887,0.134023055,0.138405033,0.140059639,0.145096185,0.140914215,0.135859486,0.138241391,0.141841522,0.135768573,0.140641478,0.131659333,0.111840431,0.140532383,0.141805157,0.137404997,0.140223281,0.13647769,0.134368522,0.143096113,0.142987018,0.131150224,0.133768501,0.146659879,0.143332485,0.141841522,0.146150769,0.120095276,0.142005164,0.134241245,0.133895778,0.146823521,0.142150624,0.138841412,0.141932434,0.133841231,0.133532128
0.132877559,0,0.130186552,0.132313902,0.127350085,0.131459326,0.132786647,0.136386778,0.134223063,0.13478672,0.13038656,0.138077748,0.129931998,0.135514019,0.138332303,0.133568493,0.135332194,0.136004946,0.138132296,0.137714099,0.137386814,0.138714135,0.13838685,0.139295974,0.132422997,0.135641296,0.13456853,0.128277392,0.141786974,0.125386378,0.134695807,0.139605077,0.12987745,0.14322339,0.136095858,0.13684134,0.13684134,0.13896869,0.137186807,0.1344958,0.137495909,0.14278701,0.13676861,0.132095713,0.142987018,0.135168552,0.137295902,0.137077712,0.136750427,0.134586712
0.13464126,0.130186552,0,0.137641369,0.140296011,0.132932107,0.143350667,0.127586458,0.132732099,0.130877486,0.144096149,0.142641551,0.134877632,0.131259319,0.140150551,0.126677334,0.138095931,0.134932179,0.127695553,0.138041383,0.133568493,0.144714353,0.14116877,0.14293247,0.133259391,0.137968653,0.137186807,0.133332121,0.136204953,0.126822794,0.137714099,0.135623114,0.135350376,0.140750573,0.133677588,0.138332303,0.135077639,0.142696098,0.134968544,0.137041347,0.142950653,0.14329612,0.134441252,0.141368777,0.13456853,0.144641623,0.130459289,0.138005018,0.133713953,0.133059384
0.136659515,0.132313902,0.137641369,0,0.131950253,0.137095894,0.131004764,0.138205026,0.131022946,0.131295683,0.13691407,0.113949598,0.133332121,0.138986872,0.136950435,0.128877414,0.127204626,0.137932288,0.135186734,0.13838685,0.127859195,0.13435034,0.132459362,0.137859559,0.115913306,0.139605077,0.134404887,0.135732208,0.13258664,0.137186807,0.129095603,0.141768792,0.133423034,0.140605113,0.135677661,0.137968653,0.137841376,0.135895851,0.141350595,0.143932507,0.134586712,0.139223244,0.133968508,0.128586494,0.135623114,0.134186698,0.13655042,0.135277646,0.127695553,0.12789556
0.136132223,0.127350085,0.140296011,0.131950253,0,0.135659479,0.126822794,0.141150587,0.131513873,0.133732136,0.13244118,0.130822939,0.132677552,0.133841231,0.130441107,0.132823012,0.139023237,0.135423106,0.131222954,0.127950107,0.13845958,0.135823121,0.135841303,0.137277719,0.130477472,0.130041092,0.132241172,0.134513982,0.129004691,0.125040911,0.133768501,0.134113968,0.139641442,0.12738645,0.129695625,0.137404997,0.143041565,0.13853231,0.130204735,0.138786865,0.130204735,0.137004982,0.136677697,0.135223099,0.126186407,0.148241754,0.126677334,0.132095713,0.122949925,0.135095822
0.143532492,0.131459326,0.132932107,0.137095894,0.135659479,0,0.132404815,0.142659733,0.134150333,0.133568493,0.138041383,0.143423397,0.13647769,0.135477654,0.143859777,0.135186734,0.141768792,0.136241318,0.137695916,0.139277792,0.138132296,0.142659733,0.139677806,0.149023601,0.137350449,0.12738645,0.145005273,0.137023164,0.14058693,0.139550529,0.131222954,0.138114113,0.139168697,0.14285974,0.139459617,0.135623114,0.135386741,0.141205135,0.133641223,0.140259646,0.141496054,0.143332485,0.142968835,0.136441325,0.144732536,0.150296374,0.13471399,0.139877814,0.135750391,0.139386887
0.138023201,0.132786647,0.143350667,0.131004764,0.126822794,0.132404815,0,0.143168843,0.140823303,0.139459617,0.143114295,0.131641151,0.134404887,0.136659515,0.13405942,0.135350376,0.132313902,0.145041638,0.143059748,0.138095931,0.138641405,0.142550638,0.140041456,0.147096258,0.134113968,0.132132078,0.137459544,0.132823012,0.142805193,0.133332121,0.115113277,0.135623114,0.140932398,0.135350376,0.143568857,0.143568857,0.143477945,0.138477763,0.127004618,0.141623332,0.134023055,0.142186989,0.135077639,0.133477581,0.141986981,0.142059711,0.134986727,0.138495945,0.135841303,0.135604931
0.127113713,0.136386778,0.127586458,0.138205026,0.141150587,0.142659733,0.143168843,0,0.135332194,0.135204917,0.140841485,0.149296338,0.129604713,0.136350413,0.145878032,0.136132223,0.128168297,0.137259537,0.132841194,0.139314157,0.141914251,0.144659806,0.135604931,0.141677879,0.141423324,0.139005055,0.141223317,0.144205244,0.144896178,0.134750355,0.136114041,0.139532347,0.140096003,0.137423179,0.139568712,0.134968544,0.141368777,0.127550093,0.142041529,0.137223172,0.128550129,0.140041456,0.137750464,0.135295829,0.142605186,0.142968835,0.137732281,0.127513728,0.134859449,0.129404706
0.135568566,0.134223063,0.132732099,0.131022946,0.131513873,0.134150333,0.140823303,0.135332194,0,0.136459508,0.143532492,0.135877668,0.139841449,0.13618677,0.134332158,0.126222772,0.146023492,0.135023092,0.133695771,0.135041274,0.137314084,0.136495873,0.135914033,0.14564166,0.126859159,0.139586894,0.142223354,0.135059457,0.136641332,0.138132296,0.128550129,0.139605077,0.137059529,0.141677879,0.134404887,0.136877705,0.137950471,0.143987054,0.13435034,0.143605222,0.137786829,0.14307793,0.133023019,0.135114004,0.138586858,0.143968872,0.139023237,0.133677588,0.141005127,0.130877486
0.134386705,0.13478672,0.130877486,0.131295683,0.133732136,0.133568493,0.139459617,0.135204917,0.136459508,0,0.13016837,0.141950616,0.139950544,0.136859522,0.135059457,0.130822939,0.145259828,0.135986763,0.130532019,0.137259537,0.124768173,0.144405251,0.138623223,0.127950107,0.130586567,0.129495618,0.136514055,0.130913851,0.131641151,0.136386778,0.135259464,0.14109604,0.138514128,0.13669588,0.13016837,0.135950398,0.140114186,0.138986872,0.132786647,0.136750427,0.124822721,0.136459508,0.131095676,0.139441434,0.132768464,0.1344958,0.139295974,0.139405069,0.132550275,0.136204953
